Returned,product_brand,sales_district,profit_margin,product_weight,product_cost,store_age,product_retail_price,yearly_income
1,Nationeel,Los Angeles,1.21,17,0.91,5842,2.12,$30K - $50K
0,Fort West,Los Angeles,1.3000000000000003,8.28,0.9,5842,2.2,$30K - $50K
1,Red Spade,Los Angeles,1,18.1,0.69,5842,1.69,$30K - $50K
0,Excellent,Los Angeles,2.1799999999999997,16.4,1.08,5842,3.26,$30K - $50K
0,Washington,Los Angeles,2,10.6,1.64,5842,3.64,$30K - $50K
1,Other,Los Angeles,1.9200000000000002,21.8,0.99,5842,2.91,$30K - $50K
0,Plato,Los Angeles,1.52,12,0.93,5842,2.45,$30K - $50K
1,Tell Tale,Los Angeles,1.77,7.87,1.63,5842,3.4,$30K - $50K
0,Carrington,Los Angeles,0.69,21.5,0.55,5842,1.24,$30K - $50K
0,Carlson,Los Angeles,0.9400000000000001,12.2,0.86,5842,1.8,$50K - $70K
0,Hermanos,Los Angeles,1.9800000000000002,13.1,1.76,5842,3.74,$50K - $70K
1,High Top,Los Angeles,2.24,18.7,1.5,5842,3.74,$50K - $70K
0,Carlson,Los Angeles,2.2700000000000005,11.6,1.22,5842,3.49,$50K - $70K
1,Best Choice,Los Angeles,1.7599999999999998,13.4,0.83,5842,2.59,$50K - $70K
1,Landslide,Los Angeles,1.4300000000000002,18.9,0.88,5842,2.31,$50K - $70K
0,Other,Los Angeles,2.2299999999999995,21.9,1.61,5842,3.84,$10K - $30K
1,Other,Los Angeles,0.55,13.2,0.42,5842,0.97,$10K - $30K
0,Fast,Los Angeles,1.1600000000000001,21.8,0.66,5842,1.82,$10K - $30K
0,Pleasant,Los Angeles,1.1800000000000002,13.2,0.69,5842,1.87,$10K - $30K
0,Landslide,Los Angeles,0.39,10.4,0.25,5842,0.64,$10K - $30K
0,Nationeel,Los Angeles,0.9199999999999999,16.3,0.79,5842,1.71,$50K - $70K
1,Cormorant,Los Angeles,0.33999999999999997,21,0.25,5842,0.59,$50K - $70K
1,Cormorant,Los Angeles,0.33999999999999997,21,0.25,5842,0.59,$50K - $70K
0,Other,Los Angeles,0.72,18.9,0.7,5842,1.42,$50K - $70K
